name,desc, latitude,longitude,circle_radius
977A,-106.0,-33.000417,27.906725,40
DD92,-112.0,-33.017813,27.918338,40
49B9,-117.0,-32.97358,27.898781,40
A740,-127.0,-32.990925,27.924003,40
A6A5,-129.0,-32.959266,27.896899,40
75E4,-130.0,-32.99593,27.89407,40
4A54,-133.0,-32.969588,27.939134,40
50AA,-142.0,-33.010143,27.892244,40
4A54,-133.0,-32.969588,27.939134,40
49B9,-117.0,-32.97358,27.898781,40
DD92,-110.0,-33.017813,27.918338,40
A740,-131.0,-32.990925,27.924003,40
50AA,-142.0,-33.010143,27.892244,40
977A,-109.0,-33.000417,27.906725,40
A6A5,-133.0,-32.959266,27.896899,40
75E4,-130.0,-32.99593,27.89407,40
4A12,-154.0,-32.933953,27.995663,40
5268,-140.0,-32.983269,27.903913,40
