name,desc, latitude,longitude,circle_radius
977A,-104.0,-33.000417,27.906725,20
DD92,-114.0,-33.017813,27.918338,20
49B9,-116.0,-32.97358,27.898781,20
75E4,-129.0,-32.99593,27.89407,20
A6A5,-130.0,-32.959266,27.896899,20
4A54,-131.0,-32.969588,27.939134,20
A740,-131.0,-32.990925,27.924003,20
5268,-138.0,-32.983269,27.903913,20
50AA,-143.0,-33.010143,27.892244,20
534F,-146.0,-32.940128,28.007236,20
4A12,-154.0,-32.933953,27.995663,20
977A,-106.0,-33.000417,27.906725,20
DD92,-112.0,-33.017813,27.918338,20
49B9,-117.0,-32.97358,27.898781,20
A740,-127.0,-32.990925,27.924003,20
A6A5,-129.0,-32.959266,27.896899,20
75E4,-130.0,-32.99593,27.89407,20
4A54,-133.0,-32.969588,27.939134,20
50AA,-142.0,-33.010143,27.892244,20
977A,-109.0,-33.000417,27.906725,20
DD92,-110.0,-33.017813,27.918338,20
49B9,-117.0,-32.97358,27.898781,20
75E4,-130.0,-32.99593,27.89407,20
A740,-131.0,-32.990925,27.924003,20
4A54,-133.0,-32.969588,27.939134,20
A6A5,-133.0,-32.959266,27.896899,20
5268,-140.0,-32.983269,27.903913,20
50AA,-142.0,-33.010143,27.892244,20
4A12,-154.0,-32.933953,27.995663,20
977A,-106.0,-33.000417,27.906725,20
DD92,-114.0,-33.017813,27.918338,20
49B9,-117.0,-32.97358,27.898781,20
75E4,-127.0,-32.99593,27.89407,20
A6A5,-130.0,-32.959266,27.896899,20
4A54,-131.0,-32.969588,27.939134,20
A740,-133.0,-32.990925,27.924003,20
9C47,-137.0,-33.012123,27.899988,20
5268,-138.0,-32.983269,27.903913,20
50AA,-140.0,-33.010143,27.892244,20
534F,-146.0,-32.940128,28.007236,20
4A12,-152.0,-32.933953,27.995663,20
977A,-108.0,-33.000417,27.906725,20
DD92,-113.0,-33.017813,27.918338,20
49B9,-116.0,-32.97358,27.898781,20
75E4,-126.0,-32.99593,27.89407,20
A740,-127.0,-32.990925,27.924003,20
A6A5,-131.0,-32.959266,27.896899,20
9C47,-133.0,-33.012123,27.899988,20
4A54,-136.0,-32.969588,27.939134,20
58F9,-145.0,-32.981328,27.865965,20
534F,-147.0,-32.940128,28.007236,20
4A12,-155.0,-32.933953,27.995663,20
977A,-106.0,-33.000417,27.906725,20
DD92,-111.0,-33.017813,27.918338,20
49B9,-117.0,-32.97358,27.898781,20
75E4,-126.0,-32.99593,27.89407,20
A740,-130.0,-32.990925,27.924003,20
A6A5,-132.0,-32.959266,27.896899,20
4A54,-133.0,-32.969588,27.939134,20
9C47,-135.0,-33.012123,27.899988,20
5268,-139.0,-32.983269,27.903913,20
977A,-106.0,-33.000417,27.906725,20
DD92,-114.0,-33.017813,27.918338,20
49B9,-117.0,-32.97358,27.898781,20
75E4,-125.0,-32.99593,27.89407,20
A6A5,-129.0,-32.959266,27.896899,20
A740,-130.0,-32.990925,27.924003,20
9C47,-133.0,-33.012123,27.899988,20
4A54,-134.0,-32.969588,27.939134,20
977A,-106.0,-33.000417,27.906725,20
DD92,-113.0,-33.017813,27.918338,20
49B9,-116.0,-32.97358,27.898781,20
75E4,-126.0,-32.99593,27.89407,20
A740,-130.0,-32.990925,27.924003,20
A6A5,-131.0,-32.959266,27.896899,20
4A54,-137.0,-32.969588,27.939134,20
9C47,-139.0,-33.012123,27.899988,20
50AA,-144.0,-33.010143,27.892244,20
977A,-106.0,-33.000417,27.906725,20
DD92,-115.0,-33.017813,27.918338,20
49B9,-117.0,-32.97358,27.898781,20
A740,-126.0,-32.990925,27.924003,20
75E4,-130.0,-32.99593,27.89407,20
A6A5,-131.0,-32.959266,27.896899,20
9C47,-132.0,-33.012123,27.899988,20
4A54,-137.0,-32.969588,27.939134,20
5268,-139.0,-32.983269,27.903913,20
4A12,-153.0,-32.933953,27.995663,20
977A,-104.0,-33.000417,27.906725,20
DD92,-112.0,-33.017813,27.918338,20
49B9,-123.0,-32.97358,27.898781,20
A740,-126.0,-32.990925,27.924003,20
9C47,-128.0,-33.012123,27.899988,20
4A54,-134.0,-32.969588,27.939134,20
75E4,-135.0,-32.99593,27.89407,20
A6A5,-135.0,-32.959266,27.896899,20
5268,-142.0,-32.983269,27.903913,20
4A12,-156.0,-32.933953,27.995663,20
977A,-104.0,-33.000417,27.906725,20
DD92,-115.0,-33.017813,27.918338,20
49B9,-118.0,-32.97358,27.898781,20
A740,-126.0,-32.990925,27.924003,20
75E4,-127.0,-32.99593,27.89407,20
A6A5,-134.0,-32.959266,27.896899,20
4A54,-136.0,-32.969588,27.939134,20
9C47,-138.0,-33.012123,27.899988,20
5268,-142.0,-32.983269,27.903913,20
58F9,-144.0,-32.981328,27.865965,20
977A,-104.0,-33.000417,27.906725,20
DD92,-110.0,-33.017813,27.918338,20
49B9,-118.0,-32.97358,27.898781,20
A740,-126.0,-32.990925,27.924003,20
A6A5,-130.0,-32.959266,27.896899,20
75E4,-130.0,-32.99593,27.89407,20
9C47,-134.0,-33.012123,27.899988,20
4A54,-135.0,-32.969588,27.939134,20
5268,-140.0,-32.983269,27.903913,20
977A,-107.0,-33.000417,27.906725,20
DD92,-110.0,-33.017813,27.918338,20
49B9,-119.0,-32.97358,27.898781,20
A740,-126.0,-32.990925,27.924003,20
75E4,-129.0,-32.99593,27.89407,20
4A54,-133.0,-32.969588,27.939134,20
9C47,-134.0,-33.012123,27.899988,20
A6A5,-135.0,-32.959266,27.896899,20
5268,-139.0,-32.983269,27.903913,20
50AA,-142.0,-33.010143,27.892244,20
4A12,-157.0,-32.933953,27.995663,20
977A,-105.0,-33.000417,27.906725,20
DD92,-108.0,-33.017813,27.918338,20
49B9,-117.0,-32.97358,27.898781,20
75E4,-125.0,-32.99593,27.89407,20
A740,-129.0,-32.990925,27.924003,20
9C47,-131.0,-33.012123,27.899988,20
A6A5,-132.0,-32.959266,27.896899,20
50AA,-142.0,-33.010143,27.892244,20
534F,-147.0,-32.940128,28.007236,20
977A,-105.0,-33.000417,27.906725,20
DD92,-112.0,-33.017813,27.918338,20
49B9,-118.0,-32.97358,27.898781,20
A740,-129.0,-32.990925,27.924003,20
75E4,-133.0,-32.99593,27.89407,20
9C47,-136.0,-33.012123,27.899988,20
A6A5,-137.0,-32.959266,27.896899,20
4A54,-141.0,-32.969588,27.939134,20
977A,-104.0,-33.000417,27.906725,20
DD92,-110.0,-33.017813,27.918338,20
49B9,-124.0,-32.97358,27.898781,20
A740,-125.0,-32.990925,27.924003,20
75E4,-129.0,-32.99593,27.89407,20
A6A5,-132.0,-32.959266,27.896899,20
4A54,-133.0,-32.969588,27.939134,20
9C47,-136.0,-33.012123,27.899988,20
50AA,-141.0,-33.010143,27.892244,20
5268,-141.0,-32.983269,27.903913,20
534F,-145.0,-32.940128,28.007236,20
977A,-109.0,-33.000417,27.906725,20
DD92,-112.0,-33.017813,27.918338,20
49B9,-118.0,-32.97358,27.898781,20
75E4,-125.0,-32.99593,27.89407,20
A740,-125.0,-32.990925,27.924003,20
9C47,-132.0,-33.012123,27.899988,20
5268,-135.0,-32.983269,27.903913,20
A6A5,-136.0,-32.959266,27.896899,20
4A54,-138.0,-32.969588,27.939134,20
50AA,-139.0,-33.010143,27.892244,20
57F0,-144.0,-32.991051,27.820308,20
58F9,-145.0,-32.981328,27.865965,20
977A,-104.0,-33.000417,27.906725,20
DD92,-112.0,-33.017813,27.918338,20
49B9,-121.0,-32.97358,27.898781,20
A740,-125.0,-32.990925,27.924003,20
75E4,-127.0,-32.99593,27.89407,20
9C47,-134.0,-33.012123,27.899988,20
A6A5,-136.0,-32.959266,27.896899,20
5268,-136.0,-32.983269,27.903913,20
50AA,-139.0,-33.010143,27.892244,20
58F9,-144.0,-32.981328,27.865965,20
977A,-106.0,-33.000417,27.906725,20
DD92,-111.0,-33.017813,27.918338,20
5217,-113.0,-33.013101,27.91658,20
49B9,-122.0,-32.97358,27.898781,20
A740,-126.0,-32.990925,27.924003,20
75E4,-129.0,-32.99593,27.89407,20
9C47,-133.0,-33.012123,27.899988,20
4A54,-133.0,-32.969588,27.939134,20
A6A5,-134.0,-32.959266,27.896899,20
50AA,-140.0,-33.010143,27.892244,20
5268,-142.0,-32.983269,27.903913,20
534F,-145.0,-32.940128,28.007236,20
977A,-107.0,-33.000417,27.906725,20
5217,-110.0,-33.013101,27.91658,20
DD92,-115.0,-33.017813,27.918338,20
49B9,-120.0,-32.97358,27.898781,20
A740,-127.0,-32.990925,27.924003,20
75E4,-130.0,-32.99593,27.89407,20
A6A5,-131.0,-32.959266,27.896899,20
4A54,-135.0,-32.969588,27.939134,20
9C47,-136.0,-33.012123,27.899988,20
5268,-136.0,-32.983269,27.903913,20
50AA,-142.0,-33.010143,27.892244,20
977A,-106.0,-33.000417,27.906725,20
5217,-109.0,-33.013101,27.91658,20
DD92,-115.0,-33.017813,27.918338,20
49B9,-119.0,-32.97358,27.898781,20
A740,-127.0,-32.990925,27.924003,20
A6A5,-131.0,-32.959266,27.896899,20
4A54,-135.0,-32.969588,27.939134,20
75E4,-138.0,-32.99593,27.89407,20
5268,-139.0,-32.983269,27.903913,20
9C47,-140.0,-33.012123,27.899988,20
50AA,-143.0,-33.010143,27.892244,20
5217,-109.0,-33.013101,27.91658,20
977A,-109.0,-33.000417,27.906725,20
DD92,-111.0,-33.017813,27.918338,20
49B9,-122.0,-32.97358,27.898781,20
4A54,-127.0,-32.969588,27.939134,20
A740,-127.0,-32.990925,27.924003,20
9C47,-130.0,-33.012123,27.899988,20
75E4,-135.0,-32.99593,27.89407,20
A6A5,-136.0,-32.959266,27.896899,20
5268,-139.0,-32.983269,27.903913,20
534F,-146.0,-32.940128,28.007236,20
977A,-105.0,-33.000417,27.906725,20
5217,-109.0,-33.013101,27.91658,20
DD92,-111.0,-33.017813,27.918338,20
49B9,-116.0,-32.97358,27.898781,20
75E4,-127.0,-32.99593,27.89407,20
A740,-128.0,-32.990925,27.924003,20
A6A5,-134.0,-32.959266,27.896899,20
4A54,-136.0,-32.969588,27.939134,20
