name,desc, latitude,longitude,circle_radius
977A,-106.0,-33.000417,27.906725,2.959999999999999
5217,-109.0,-33.013101,27.91658,3.710000000000001
DD92,-113.0,-33.017813,27.918338,4.990000000000003
49B9,-119.0,-32.97358,27.898781,7.510000000000002
A6A5,-124.0,-32.959266,27.896899,10.160000000000002
75E4,-125.0,-32.99593,27.89407,10.75
A740,-126.0,-32.990925,27.924003,11.359999999999998
4A54,-135.0,-32.969588,27.939134,17.75
50AA,-142.0,-33.010143,27.892244,23.839999999999993
4A12,-152.0,-32.933953,27.995663,34.239999999999995
977A,-104.0,-33.000417,27.906725,2.5600000000000005
5217,-108.0,-33.013101,27.91658,3.4400000000000017
DD92,-114.0,-33.017813,27.918338,5.360000000000001
49B9,-120.0,-32.97358,27.898781,8.0
A740,-124.0,-32.990925,27.924003,10.160000000000002
A6A5,-125.0,-32.959266,27.896899,10.75
75E4,-127.0,-32.99593,27.89407,11.989999999999995
4A54,-138.0,-32.969588,27.939134,20.240000000000006
9C47,-138.0,-33.012123,27.899988,20.240000000000006
5268,-140.0,-32.983269,27.903913,22.0
4A12,-149.0,-32.933953,27.995663,30.910000000000004
977A,-107.0,-33.000417,27.906725,3.189999999999998
5217,-110.0,-33.013101,27.91658,4.0
DD92,-114.0,-33.017813,27.918338,5.360000000000001
49B9,-118.0,-32.97358,27.898781,7.040000000000004
A740,-124.0,-32.990925,27.924003,10.160000000000002
A6A5,-125.0,-32.959266,27.896899,10.75
9C47,-130.0,-33.012123,27.899988,14.0
75E4,-131.0,-32.99593,27.89407,14.709999999999999
4A54,-134.0,-32.969588,27.939134,16.96
5268,-139.0,-32.983269,27.903913,21.110000000000007
50AA,-140.0,-33.010143,27.892244,22.0
534F,-145.0,-32.940128,28.007236,26.75
4A12,-148.0,-32.933953,27.995663,29.840000000000007
977A,-106.0,-33.000417,27.906725,2.959999999999999
5217,-109.0,-33.013101,27.91658,3.710000000000001
DD92,-113.0,-33.017813,27.918338,4.990000000000003
49B9,-117.0,-32.97358,27.898781,6.589999999999997
A6A5,-125.0,-32.959266,27.896899,10.75
A740,-127.0,-32.990925,27.924003,11.989999999999995
