Sigfox;Serial;No;Pac;RTS;Serial;No
00BF0714;FCECD90F3BC1804B;0000000721125347;null;8;IceMeter;Pulse
00C360B2;70EE3D7FD4AAE72D;0000001321136404;null;37;IceMeter;Pulse
00C360B5;14F5CC1065A6B57D;0000001321136376;null;66;IceMeter;Pulse
00C360B8;B9CA11C9701DFFC4;0000001321136311;null;69;IceMeter;Pulse
00C360BD;C16882B914F80FCB;0000001321136078;null;68;IceMeter;Pulse
00C360C1;EE0BB3E8983887DF;0000001321136314;null;40;IceMeter;Pulse
00C36203;38D1616D356F59B4;0000001121132853;null;67;IceMeter;Pulse
00C36209;8D57277CC7181968;0000001121132430;null;37;IceMeter;Pulse
00C363D3;7E549C7A8C990D56;0000001121132764;null;51;IceMeter;Pulse
00C363E6;5EEDC6C27DB024AB;0000001121132483;null;70;IceMeter;Pulse
00C3641D;6063A2BB1E15A17C;0000001121132429;null;49;IceMeter;Pulse
00C36425;57E86A847EB30037;0000001121132436;null;40;IceMeter;Pulse
00C3642D;D72B5F5C8EEA8770;0000000921127129;null;5;IceMeter;Pulse
00C3674E;AA2EC8FFC263F335;0000001321136279;null;14;IceMeter;Pulse
00C36992;9FB1F259149F4C82;0000001121133840;null;53;IceMeter;Pulse
00C36AAC;0F9A01521315B1FC;0000001121132439;null;53;IceMeter;Pulse
00C36AB3;7F3C70F593169DA2;0000001121132792;null;75;IceMeter;Pulse
00C36ABC;2F98D62323CAC6F7;0000001021129409;null;8;IceMeter;Pulse
00C36ABD;5D2B914DF50C96EE;0000001121132402;null;56;IceMeter;Pulse
00C36AC3;D2FEA0D452484428;0000001121132435;null;45;IceMeter;Pulse
00C36CD7;E01BC2DB59316BBD;0000001121132431;null;13;IceMeter;Pulse
00C36E7C;240B575F0262B6CB;0000001221135187;null;28;IceMeter;Pulse
00C36E95;4738CCDE50817EF5;0000001221135014;null;59;IceMeter;Pulse
00C36F0A;A2C0638B74AA8A86;0000001121132423;null;63;IceMeter;Pulse
00C37326;82147A66A63615F9;0000001121132475;null;72;IceMeter;Pulse
00C3773D;105D0741173EA33E;0000001221135149;null;23;IceMeter;Pulse
00C37748;CB4965912EE62271;0000001221135189;null;49;IceMeter;Pulse
00C37756;8D6E62BC7F9A494F;0000001021130019;null;47;IceMeter;Pulse
00C37758;08548629DB3E5D4D;0000001221135171;null;13;IceMeter;Pulse
00C37759;DA15F5F2D861288E;0000001021130762;null;58;IceMeter;Pulse
00C3779D;D5C30A1F4D4C242F;0000000821127024;null;6;IceMeter;Pulse
00C3796B;F8968F62CF8AFF1E;0000001021131540;null;45;IceMeter;Pulse
00C37BEE;5682659D6E930177;0000001221135188;null;50;IceMeter;Pulse
00C37BF3;647B21B1C7880736;0000000821126230;null;8;IceMeter;Pulse
00C37BF8;E38C7FEFE2D03107;0000001221135172;null;21;IceMeter;Pulse
00C37BFA;9983EA3D396FB399;0000001121132405;null;65;IceMeter;Pulse
00C37C02;D84E030FFEFCABBE;0000001121132768;null;27;IceMeter;Pulse
00C37DD2;C0F23D30B399F630;0000001221135186;null;36;IceMeter;Pulse
00C37E21;257477EDBECA2664;0000001021131552;null;51;IceMeter;Pulse
00C3804C;91F469B21039AFB9;0000001221135008;null;69;IceMeter;Pulse
00C38182;D11CE2068C566CFD;0000001221134901;null;12;IceMeter;Pulse
00C38185;4AA7704EC3DB38D0;0000001221134951;null;18;IceMeter;Pulse
00C38186;AAD85EA404461ACD;0000001121133777;null;79;IceMeter;Pulse
00C382C4;41D4CCD5F1BF76AC;0000001021130881;null;47;IceMeter;Pulse
00C382C9;E8BB18B336E908E9;0000001021130876;null;75;IceMeter;Pulse
00C38686;A11451B3CEF9A8EA;0000001121132438;null;49;IceMeter;Pulse
00C38826;E8F9BA95E9AAF86D;0000001121133639;null;75;IceMeter;Pulse
00C38A3E;340439711CE4582D;0000001121133791;null;80;IceMeter;Pulse
00C38A4E;022DE2A63124421C;0000001221134881;null;17;IceMeter;Pulse
00C38A54;7182DCB68E3A6754;0000001121133792;null;80;IceMeter;Pulse
00C39114;CFFE29B4738D1E98;0000001121133844;null;52;IceMeter;Pulse
00C3911B;711CAC7EE108282A;0000001121133774;null;80;IceMeter;Pulse
00C39195;2E76FF7D62A742EC;0000001121132762;null;49;IceMeter;Pulse
00C3923B;E0B05F2B0ECD5433;0000001021130779;null;80;IceMeter;Pulse
00C3923C;71F8B94AACD79CC3;0000001021131539;null;21;IceMeter;Pulse
00C39244;B5CE047609FF5061;0000001021130938;null;78;IceMeter;Pulse
00C3924C;5C26A0ADE9CE5980;0000001021130951;null;76;IceMeter;Pulse
00C39981;C860265EC1EFEFD3;0000001021130291;null;73;IceMeter;Pulse
00C39B9A;EEBA2AEEAF845B36;0000001021130303;null;8;IceMeter;Pulse
00C39B9B;208E7DE2890B5C43;0000001221134517;null;18;IceMeter;Pulse
00C39B9D;3251CB6AF727D0D4;0000001021130301;null;15;IceMeter;Pulse
00C39BA2;CEC466B3CE50759E;0000001021130350;null;73;IceMeter;Pulse
00C39BB1;A26DF7FF624FAF0C;0000001021130287;null;61;IceMeter;Pulse
00C39BF4;63F50BE0468D848D;0000001021130888;null;47;IceMeter;Pulse
00C39C14;553A1116CFB1DB9A;0000001221134888;null;17;IceMeter;Pulse
00C39DCB;08F82F76156820DA;0000001021130299;null;74;IceMeter;Pulse
00C39DCD;99181332A9471D6F;0000001021130300;null;33;IceMeter;Pulse
00C39DCE;CDA73B22BA576E93;0000001021130288;null;68;IceMeter;Pulse
00C39DD3;09E757B4F5C77B8B;0000001021130294;null;57;IceMeter;Pulse
00C39E90;379E1340C30FDDA0;0000000821126226;null;7;IceMeter;Pulse
00C3A690;80DB442FF9817729;0000001121132458;null;56;IceMeter;Pulse
00C3A6A0;3FF591476EA5EAB2;0000001121133257;null;52;IceMeter;Pulse
00C3A6A5;0B7391EA16C044FB;0000001121132514;null;51;IceMeter;Pulse
00C3A6D2;3B9B857B8F8D581A;0000001221135326;null;79;IceMeter;Pulse
00C3A8A6;0626595A2111AA76;0000000821126712;null;6;IceMeter;Pulse
00C3A8BC;589B1B87336A732D;0000001121132497;null;77;IceMeter;Pulse
00C3A8BD;509B029BA0083DDE;0000001121132482;null;65;IceMeter;Pulse
00C3A8BE;1691116D8841BC1E;0000001121132519;null;73;IceMeter;Pulse
00C3A8C0;A2DEEF78AF1C4256;0000001021130330;null;13;IceMeter;Pulse
00C3A8C2;0AB21F02F1E0C881;0000001121132507;null;77;IceMeter;Pulse
00C3A8D0;A67D75CC070B2548;0000001021130355;null;8;IceMeter;Pulse
00C3A8D4;1C779B228B7BDF5B;0000001121132488;null;54;IceMeter;Pulse
00C3A901;5943BA191CFE9997;0000001221135368;null;65;IceMeter;Pulse
00C3A902;26303E1386396E48;0000001121132887;null;11;IceMeter;Pulse
00C3A941;B7BE317264AC50E1;0000001021130896;null;79;IceMeter;Pulse
00C3A942;EDC856D16A2CAE93;0000001021131298;null;50;IceMeter;Pulse
00C3A9CA;B503CC1260F1B81C;0000001221135168;null;37;IceMeter;Pulse
00C3B3F3;47AE17821E49B34A;0000001221135146;null;37;IceMeter;Pulse
00C3B3F9;E7B2A7ACBCB9B747;0000001021130757;null;58;IceMeter;Pulse
00C3B403;552E5B021099D971;0000001021130020;null;51;IceMeter;Pulse
00C3B411;33C38D09D1E731CF;0000001221135165;null;13;IceMeter;Pulse
00C3B43C;FFCC08EE59B5185C;0000000321111836;null;8;IceMeter;Pulse
00C3B551;9665F1E83E51A145;0000001121132146;null;21;IceMeter;Pulse
00C3B63D;1E3BA259E3A56019;0000001121132428;null;67;IceMeter;Pulse
00C3B86A;5A5C64E3338A2D44;0000001021130805;null;68;IceMeter;Pulse
00C3B86F;398A9AB72ACE3B2A;0000001221135164;null;16;IceMeter;Pulse
00C3B9D2;7A1718DBB4737490;0000001221135175;null;36;IceMeter;Pulse
00C3B9E2;1DA143DE15107C1B;0000001221135173;null;23;IceMeter;Pulse
00C3BA89;BA563C7E9DEF6DA9;0000001121134171;null;70;IceMeter;Pulse
00C3BA8A;ACD075F49E577D5E;0000001121133218;null;72;IceMeter;Pulse
00C3BA92;1BA6D5EBFB39ECD6;0000001321136165;null;18;IceMeter;Pulse
00C3BA93;D99066D67803D044;0000001321136308;null;57;IceMeter;Pulse
00C3BA95;39A4882159180887;0000001221134420;null;24;IceMeter;Pulse
00C3BA96;F2FBC548D63BB063;0000001221134430;null;80;IceMeter;Pulse
00C3BA98;173D5988ABF43FF1;0000001321136310;null;38;IceMeter;Pulse
00C3BC26;66BFBBA734882710;0000001221134533;null;19;IceMeter;Pulse
00C3BC2F;464776EBA1C1AF8E;0000001121134368;null;73;IceMeter;Pulse
00C3BC34;D53E939558077A38;0000001221135445;null;80;IceMeter;Pulse
00C3BC39;DA1D22EDA007035E;0000001121133247;null;52;IceMeter;Pulse
00C3BC41;AA2ECD98695F43FC;0000001221134530;null;18;IceMeter;Pulse
00C3BC42;01A29A3FDA78F454;0000001221135453;null;70;IceMeter;Pulse
00C3BC77;1181331875386374;0000001121132440;null;39;IceMeter;Pulse
00C3BE4B;E246279C1C3B9273;0000001021130143;null;33;IceMeter;Pulse
00C3BE6B;09E31452D4C0A2EC;0000001121132485;null;28;IceMeter;Pulse
00C3BF30;D01DCCE3830C9B67;0000001021130277;null;78;IceMeter;Pulse
00C3BF31;02C1043E302ABC5C;0000001221135011;null;66;IceMeter;Pulse
00C3C018;4C9C7FA8C18F5E72;0000001121133311;null;40;IceMeter;Pulse
00C3C147;B0CA2FA88D9D42EB;0000001021130023;null;78;IceMeter;Pulse
00C3C154;167B23837A1FB358;0000001121132399;null;49;IceMeter;Pulse
00C3C20A;00BEC69DE20BA96B;0000001121132906;null;20;IceMeter;Pulse
00C3C21E;E4855BBBDCD57D15;0000001021131316;null;57;IceMeter;Pulse
00C3C26A;98D14F8A34979C45;0000000821126346;null;5;IceMeter;Pulse
00C3C3C7;521242454E31B45C;0000001121132147;null;10;IceMeter;Pulse
00C3C436;410BCE49B0740B44;0000001121132426;null;20;IceMeter;Pulse
00C3C43D;68D8C39B703D1499;0000001021130280;null;76;IceMeter;Pulse
00C3C43E;2830A813D1ADE593;0000001221135170;null;22;IceMeter;Pulse
00C3C4F7;E99B4A0DEA61F80E;0000001121132481;null;54;IceMeter;Pulse
00C3C641;98EB91DC6437D8FA;0000001321136430;null;66;IceMeter;Pulse
00C3C6B6;835805042527D8DB;0000001221134903;null;19;IceMeter;Pulse
00C3C6B9;41AFC597B1E3DFC3;0000001221135191;null;35;IceMeter;Pulse
00C3C6BA;6FE19AE576E7C2C9;0000001321136359;null;24;IceMeter;Pulse
00C3C6BB;B246A0093A8B98E0;0000001221135192;null;35;IceMeter;Pulse
00C3C6BD;E69365CF02023FAF;0000001321136300;null;14;IceMeter;Pulse
00C3C6C1;F1B6AA7B816EAD77;0000001321136360;null;51;IceMeter;Pulse
00C3C6C3;1FA220D9344D725A;0000001221135174;null;11;IceMeter;Pulse
00C3C6C8;A2CC40556C8A19BF;0000001021130279;null;74;IceMeter;Pulse
00C3C7B3;0B5C2F1A8203044D;0000001021130806;null;70;IceMeter;Pulse
00C3C7C3;DCB1AB6647EBAEBF;0000001321136353;null;54;IceMeter;Pulse
00C3C7C6;A08B284EE4E56448;0000001321136384;null;40;IceMeter;Pulse
00C3C7C9;6B691B764BCAF441;0000001021129408;null;5;IceMeter;Pulse
00C3C7CC;110C9DA45620CD80;0000001321136425;null;48;IceMeter;Pulse
00C3C7D0;269F87AFBA7BB82E;0000001221135177;null;24;IceMeter;Pulse
00C3C7D7;DD0305C3E65B282F;0000001121132841;null;77;IceMeter;Pulse
00C3C7DA;333B7EA8AEF62433;0000001221135147;null;10;IceMeter;Pulse
00C3C7DD;B3C57C54B52E89EF;0000001221135215;null;21;IceMeter;Pulse
00C3C86C;0EDB5D5C9B449110;0000001121132422;null;22;IceMeter;Pulse
00C3C86E;C19C473482F855CE;0000001221135150;null;24;IceMeter;Pulse
00C3C8F2;7E5594EBE8E5C254;0000001321136188;null;14;IceMeter;Pulse
00C3C8FE;CA0579272B07DF11;0000001221135181;null;27;IceMeter;Pulse
00C3C900;D0A52720DB4BA358;0000001221135018;null;12;IceMeter;Pulse
00C3C906;2BE0326FCF9B947F;0000001221135183;null;34;IceMeter;Pulse
00C3C908;77F24C16B49AEE77;0000001021130878;null;74;IceMeter;Pulse
00C3C909;0929A5813314A1E3;0000001321136298;null;52;IceMeter;Pulse
00C3C90A;36C441475FB02861;0000001321136303;null;58;IceMeter;Pulse
00C3C90B;9B0249A34A1CC015;0000001121132444;null;59;IceMeter;Pulse
00C3CAC0;08F2C6FD7395549B;0000001121132456;null;45;IceMeter;Pulse
00C3CAC1;150E0CE1827F9023;0000001221134943;null;19;IceMeter;Pulse
00C3CB32;66DAEF5EDF98FEFB;0000001221134532;null;10;IceMeter;Pulse
