Hardware version;Id;Latitude;Longitude;Name
TAPV2.2;4322;-33,968539;18,629362;Abedare_Primary_School - SQD_WC_G_28 
TAPV2.2;4341;-29,236118;27,374599;Meulplaas - SQD_FS_G_76 
TAPV2.2;4344;-29,554787;30,300613;Hilton_MW - SQD_ZN_G_160 
TAPV2.2;4345;-25,32748;31,01835;White River - SQD_MP_G_20 
TAPV2.2;4348;-26,142405;28,214734;ABS_Jenny - SQD_GP_R_275 
TAPV2.2;435E;-26,276457;28,01054;Mondeor - SQD_GP_G_117
TAPV2.2;4369;-26,359292;27,398449;Carletonville_MW - SQD_GP_G_105 
TAPV2.2;436A;-29,769855;30,948659;Castle_Hill - SQD_ZN_G_262
TAPV2.2;436C;-29,195959;26,817539;Selosesha - SQD_FS_G_45 
TAPV2.2;436D;-33,891597;19,101476; Le_Roux_B_Atlas - SQD_WC_G_144
TAPV2.2;436E;-24,518683;28,711912;Naboomspruit - SQD_LP_G_11 
TAPV2.2;4371;-29,229065;26,730433;Botshabelo_Iclix - SQD_FS_G_84
TAPV2.2;4372;-25,604017;27,996557;Ga_Rankuwa - SQD_GP_G_110 
TAPV2.2;4376;-34,38705;21,4112389;Stilbaai_West - SQD_WC_G_254
TAPV2.2;4377;-33,817112;18,552571;Atlas_Gardens - SQD_WC_G_180 
TAPV2.2;4378;-25,474539;30,983197;Electra_Nelspruit - SQD_MP_G_88
TAPV2.2;4379;-26,244514;27,940926;Diepkloof - SQD_GP_G_217
TAPV2.2;437B;-26,003502;28,414806;Bapsfontein - SQD_GP_G_128 
TAPV2.2;4398;-33,715052;18,558036;Koeberg_Hill - SQD_WC_G_49
TAPV2.2;43C9;-29,904539;30,923637;Umhlatuzana - SQD_ZN_G_179
TAPV2.2;43CC;-33,969849;18,464714;Teraco_Cape_Town - SQD_WC_I_17
TAPV2.2;43CD;-34,032537;24,759625;Humansdorp_West - SQD_EC_G_172
TAPV2.2;43CF;-31,914368;28,731281;Elliotdale - SQD_EC_G_103 
TAPV2.2;43D0;-29,606441;31,031645;Hazelmere_Dam - SQD_ZN_G_265
TAPV2.2;43D1;-33,931707;18,871232;Uni_Stellenbosch - SQD_WC_R_139 
TAPV2.2;43D3;-26,077713;28,195683;Chloorkop - SQD_GP_G_36
TAPV2.2;43D4;-25,892133;25,617905;Magogwe - SQD_NW_G_143
TAPV2.2;43D5;-34,142084;18,33714;Kommetjie - SQD_WC_G_47 
TAPV2.2;43D7;-26,299463;28,0616;Mulbarton Primary - SQD_GP_G_78
TAPV2.2;43D8;-34,071972;23,042277;Brenton - SQD_WC_G_74 
TAPV2.2;43D9;-26,094411;28,08974;Marlboro - SQD_GP_G_70
TAPV2.2;43DA;-33,700468;18,99706;Groeneheuwel_Primary - SQD_WC_G_114
TAPV2.2;43DB;-25,93437;27,927085;Lanseria - SQD_GP_G_69
TAPV2.2;43DC;-26,135334;27,739959;Shezi_City - SQD_GP_G_25 
TAPV2.2;43DF;-33,586792;26,910369;Port_Alfred - SQD_EC_G_129 
TAPV2.2;4,30E+06;-26,359832;28,385021;Vuyani_Primary_School_ATLAS - SQD_GP_G_240
TAPV2.2;4,30E+07;-26,128362;28,286252;Brentwood - SQD_GP_G_210
TAPV2.2;43EA;-26,25884;28,083998;Risana - SQD_GP_G_147
TAPV2.2;43EB;-34,02503;24,429696;Kareedouw_MW - SQD_EC_G_51
TAPV2.2;43EC;-32,94259;27,700869;Assemblies_of_God_Mdantsane_Atlas - SQD_EC_G_256
TAPV2.2;43ED;-31,159354;28,955336;Qumbu_MW - SQD_EC_G_78 
TAPV2.2;43EE;-27,219898;25,960305;Wolmaranstad - SQD_NW_G_40
TAPV2.2;43EF;-26,076621;27,923285;Honeydew - SQD_GP_G_34 
TAPV2.2;43F2;-33,649011;25,590165;Grass_Ridge - SQD_EC_G_98
TAPV2.2;43F3;-26,367678;27,891145;Zakariyya_Park - SQD_GP_G_307 
TAPV2.2;43F5;-34,044971;18,465452;Heathfield - SQD_WC_R_132 
TAPV2.2;43F6;-30,393166;17,914553;Kharkams_MW - SQD_NC_G_22 
TAPV2.2;43F8;-32,081968;27,949907;Tsomo_MW - SQD_EC_G_106 
